YUV,SETTING,QP,OPT,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,BITRATE,TOTAL TIME
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,22,OPT,43.2787,45.3892,45.8442,43.8270,15878.2500,13348.555
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,22,noOPT,43.2787,45.3892,45.8442,43.8270,15878.2500,21132.540
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,27,OPT,39.8060,42.6831,42.9416,40.5001,7126.5300,8282.915
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,27,noOPT,39.8060,42.6831,42.9416,40.5001,7126.5300,14312.709
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,32,OPT,36.9287,40.4445,40.5257,37.7546,3534.2250,5518.957
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,32,noOPT,36.9287,40.4445,40.5257,37.7546,3534.2250,10182.183
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,37,OPT,34.2481,38.2567,38.1466,35.1570,1793.2650,3559.443
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,37,noOPT,34.2481,38.2567,38.1466,35.1570,1793.2650,6431.515
BQMall_832x480_60fps_8bit,32framelimt_RA,22,OPT,40.2286,43.9023,45.6295,41.1789,3797.6550,2880.730
BQMall_832x480_60fps_8bit,32framelimt_RA,22,noOPT,40.2286,43.9023,45.6295,41.1789,3797.6550,4408.178
BQMall_832x480_60fps_8bit,32framelimt_RA,27,OPT,37.7152,42.2157,43.4692,38.7338,1773.7350,1817.463
BQMall_832x480_60fps_8bit,32framelimt_RA,27,noOPT,37.7152,42.2157,43.4692,38.7338,1773.7350,2985.722
BQMall_832x480_60fps_8bit,32framelimt_RA,32,OPT,35.0719,40.3176,41.3270,36.1555,941.1000,1192.094
BQMall_832x480_60fps_8bit,32framelimt_RA,32,noOPT,35.0719,40.3176,41.3270,36.1555,941.1000,2091.550
BQMall_832x480_60fps_8bit,32framelimt_RA,37,OPT,32.2498,38.4644,39.0175,33.4061,504.0600,795.309
BQMall_832x480_60fps_8bit,32framelimt_RA,37,noOPT,32.2498,38.4644,39.0175,33.4061,504.0600,1473.483
BQSquare_416x240_60fps_8bit,32framelimt_RA,22,OPT,39.4281,44.7006,45.7310,40.5252,1356.1050,681.677
BQSquare_416x240_60fps_8bit,32framelimt_RA,22,noOPT,39.4281,44.7006,45.7310,40.5252,1356.1050,995.928
BQSquare_416x240_60fps_8bit,32framelimt_RA,27,OPT,35.9422,42.5326,43.6719,37.1895,613.6800,411.330
BQSquare_416x240_60fps_8bit,32framelimt_RA,27,noOPT,35.9422,42.5326,43.6719,37.1895,613.6800,639.719
BQSquare_416x240_60fps_8bit,32framelimt_RA,32,OPT,32.7522,40.5558,41.5461,34.1126,315.2700,251.505
BQSquare_416x240_60fps_8bit,32framelimt_RA,32,noOPT,32.7522,40.5558,41.5461,34.1126,315.2700,422.060
BQSquare_416x240_60fps_8bit,32framelimt_RA,37,OPT,29.9872,38.9553,39.3714,31.4138,180.1500,155.334
BQSquare_416x240_60fps_8bit,32framelimt_RA,37,noOPT,29.9872,38.9553,39.3714,31.4138,180.1500,276.848
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,22,OPT,38.3201,42.8165,45.0003,39.1919,37202.3550,20637.770
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,22,noOPT,38.3201,42.8165,45.0003,39.1919,37202.3550,30028.060
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,27,OPT,35.6397,41.6525,43.8506,36.8952,8143.3500,7534.470
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,27,noOPT,35.6397,41.6525,43.8506,36.8952,8143.3500,12758.649
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,32,OPT,34.0145,40.1954,42.4122,35.3458,3000.3900,3705.338
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,32,noOPT,34.0145,40.1954,42.4122,35.3458,3000.3900,6770.818
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,37,OPT,32.1972,38.5640,40.9068,33.5630,1403.7600,2225.604
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,37,noOPT,32.1972,38.5640,40.9068,33.5630,1403.7600,4335.288
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,22,OPT,41.8670,44.4300,45.3115,42.5578,2674.4375,3408.739
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,22,noOPT,41.8670,44.4300,45.3115,42.5578,2674.4375,4554.436
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,27,OPT,38.7590,42.1929,42.6957,39.5827,1249.0625,2195.151
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,27,noOPT,38.7590,42.1929,42.6957,39.5827,1249.0625,3170.037
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,32,OPT,35.9155,40.0735,40.2812,36.8519,635.9625,1470.610
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,32,noOPT,35.9155,40.0735,40.2812,36.8519,635.9625,2273.870
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,37,OPT,33.2128,37.9166,38.0029,34.2288,327.5125,894.122
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,37,noOPT,33.2128,37.9166,38.0029,34.2288,327.5125,1466.339
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,22,OPT,41.7670,44.3324,45.1795,42.4368,2843.5375,3562.345
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,22,noOPT,41.7670,44.3324,45.1795,42.4368,2843.5375,5441.638
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,27,OPT,38.7201,42.2371,42.6333,39.5357,1305.0250,2178.242
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,27,noOPT,38.7201,42.2371,42.6333,39.5357,1305.0250,3889.183
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,32,OPT,35.8649,40.1213,40.3042,36.8031,644.7000,1502.059
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,32,noOPT,35.8649,40.1213,40.3042,36.8031,644.7000,2700.765
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,37,OPT,33.2494,38.2435,38.1320,34.2833,328.4750,885.715
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,37,noOPT,33.2494,38.2435,38.1320,34.2833,328.4750,1743.188
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,22,OPT,40.1084,45.2381,46.8748,41.2656,10983.9125,19279.412
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,22,noOPT,40.1084,45.2381,46.8748,41.2656,10983.9125,31895.745
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,27,OPT,38.9109,44.1654,45.0163,40.0921,3628.5250,12185.329
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,27,noOPT,38.9109,44.1654,45.0163,40.0921,3628.5250,21085.739
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,32,OPT,37.4856,42.8752,43.1236,38.6353,1740.2500,7097.690
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,32,noOPT,37.4856,42.8752,43.1236,38.6353,1740.2500,13629.980
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,37,OPT,35.6639,41.4034,41.0453,36.7956,893.4125,4074.807
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,37,noOPT,35.6639,41.4034,41.0453,36.7956,893.4125,8029.889
BasketballPass_416x240_50fps_8bit,32framelimt_RA,22,OPT,42.6726,46.0958,45.8041,43.4400,690.0500,582.098
BasketballPass_416x240_50fps_8bit,32framelimt_RA,22,noOPT,42.6726,46.0958,45.8041,43.4400,690.0500,873.186
BasketballPass_416x240_50fps_8bit,32framelimt_RA,27,OPT,38.8904,43.6058,42.8509,39.8246,344.0875,385.724
BasketballPass_416x240_50fps_8bit,32framelimt_RA,27,noOPT,38.8904,43.6058,42.8509,39.8246,344.0875,615.836
BasketballPass_416x240_50fps_8bit,32framelimt_RA,32,OPT,35.6305,41.3307,40.2254,36.6860,179.3625,256.622
BasketballPass_416x240_50fps_8bit,32framelimt_RA,32,noOPT,35.6305,41.3307,40.2254,36.6860,179.3625,436.780
BasketballPass_416x240_50fps_8bit,32framelimt_RA,37,OPT,32.7025,39.1236,37.9034,33.8504,94.3625,166.612
BasketballPass_416x240_50fps_8bit,32framelimt_RA,37,noOPT,32.7025,39.1236,37.9034,33.8504,94.3625,298.115
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,22,OPT,38.7615,41.8184,43.9351,39.5629,1544.9250,1111.966
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,22,noOPT,38.7615,41.8184,43.9351,39.5629,1544.9250,2177.317
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,27,OPT,35.4328,39.3367,41.4143,36.3757,681.1250,725.749
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,27,noOPT,35.4328,39.3367,41.4143,36.3757,681.1250,1071.494
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,32,OPT,32.5926,37.1418,39.1465,33.6404,327.6125,462.818
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,32,noOPT,32.5926,37.1418,39.1465,33.6404,327.6125,833.421
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,37,OPT,29.9457,35.2476,36.9802,31.1028,158.3875,282.286
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,37,noOPT,29.9457,35.2476,36.9802,31.1028,158.3875,500.901
Cactus_1920x1080_50fps_8bit,32framelimt_RA,22,OPT,38.6364,40.1295,43.8270,39.3098,16419.7500,16103.863
Cactus_1920x1080_50fps_8bit,32framelimt_RA,22,noOPT,38.6364,40.1295,43.8270,39.3098,16419.7500,26279.967
Cactus_1920x1080_50fps_8bit,32framelimt_RA,27,OPT,36.9785,39.2528,42.2140,37.8336,4935.6250,8167.353
Cactus_1920x1080_50fps_8bit,32framelimt_RA,27,noOPT,36.9785,39.2528,42.2140,37.8336,4935.6250,15190.146
Cactus_1920x1080_50fps_8bit,32framelimt_RA,32,OPT,35.2293,38.4610,40.6232,36.1946,2242.8250,5279.749
Cactus_1920x1080_50fps_8bit,32framelimt_RA,32,noOPT,35.2293,38.4610,40.6232,36.1946,2242.8250,10303.069
Cactus_1920x1080_50fps_8bit,32framelimt_RA,37,OPT,33.0961,37.4399,38.9234,34.1790,1093.6750,3320.047
Cactus_1920x1080_50fps_8bit,32framelimt_RA,37,noOPT,33.0961,37.4399,38.9234,34.1790,1093.6750,6521.813
Campfire_3840x2160_30fps_10bit,32framelimt_RA,22,OPT,40.0585,41.9650,42.1620,40.3618,67503.9825,99670.016
Campfire_3840x2160_30fps_10bit,32framelimt_RA,22,noOPT,40.0585,41.9650,42.1620,40.3618,67503.9825,132874.272
Campfire_3840x2160_30fps_10bit,32framelimt_RA,27,OPT,37.5071,38.3072,40.0096,37.8397,21218.0475,59781.577
Campfire_3840x2160_30fps_10bit,32framelimt_RA,27,noOPT,37.5071,38.3072,40.0096,37.8397,21218.0475,86566.008
Campfire_3840x2160_30fps_10bit,32framelimt_RA,32,OPT,35.7731,35.8892,38.3757,36.0418,9852.4050,39037.609
Campfire_3840x2160_30fps_10bit,32framelimt_RA,32,noOPT,35.7731,35.8892,38.3757,36.0418,9852.4050,64194.318
Campfire_3840x2160_30fps_10bit,32framelimt_RA,37,OPT,33.8409,33.7083,36.7565,34.0901,4833.0450,24080.656
Campfire_3840x2160_30fps_10bit,32framelimt_RA,37,noOPT,33.8409,33.7083,36.7565,34.0901,4833.0450,45002.327
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,22,OPT,40.3908,44.2944,45.3474,41.3395,12393.1050,17342.408
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,22,noOPT,40.3908,44.2944,45.3474,41.3395,12393.1050,27283.148
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,27,OPT,38.8725,43.2305,44.4180,39.9497,4281.2550,8563.503
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,27,noOPT,38.8725,43.2305,44.4180,39.9497,4281.2550,15446.616
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,32,OPT,36.9799,42.0925,43.2443,38.1516,1896.2400,5237.316
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,32,noOPT,36.9799,42.0925,43.2443,38.1516,1896.2400,10273.386
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,37,OPT,34.8371,40.9020,41.8311,36.0982,894.9300,3165.737
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,37,noOPT,34.8371,40.9020,41.8311,36.0982,894.9300,6632.069
